EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3452,Jaydon,Blackburn,08/11/2022,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,Sales,General - Con,07/01/1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2
3453,Bridger,Carter,13/10/2022,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,Sales,Fielders,07/04/1982,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4
3454,Leon,Beard,11/09/2022,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,IT/IS,General - Con,29/01/1970,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4
3455,Charity,Miranda,29/06/2021,05/07/2022,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Project Management - Eng,18/01/1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4
3456,Axel,Howe,06/03/2023,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,Sales,Field Operations,25/09/1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3
3457,Milton,Wall,25/09/2020,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,Sales,Engineers,23/08/1947,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3
3458,Cory,Robinson,28/04/2022,24/05/2023,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Sales,Field Operations,12/08/1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3
3459,Saniya,Yu,18/04/2021,21/06/2022,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Sales,General - Con,09/02/1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2
3460,Alisa,James,19/02/2020,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,Sales,Aerial,10/02/1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3
3461,Lincoln,Compton,18/07/2019,01/10/2021,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Sales,General - Con,29/12/1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1
3462,Aliana,Nolan,13/09/2018,17/09/2021,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Sales,Field Operations,09/08/1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3
3463,Kayden,Dodson,30/04/2020,18/07/2021,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Sales,Field Operations,21/06/1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1
3464,James,Duke,03/12/2018,09/09/2022,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Sales,Shop (Fleet),17/06/1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5
3465,Willow,Stuart,08/11/2021,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,Sales,General - Con,07/01/1962,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3
3466,Clayton,Walker,13/04/2022,10/04/2023,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,IT/IS,Aerial,26/01/1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4
3467,Celia,Curtis,06/05/2020,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,Sales,Fielders,14/05/1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1
3468,Valentin,Reilly,09/09/2019,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,Sales,Wireline Construction,26/04/1998,KY,Foreman,Female,45453,Black,Single,Fully Meets,4
3469,Ryland,Shepherd,29/07/2020,05/01/2023,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,21/02/1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3
3470,Esteban,Gilbert,14/11/2018,28/10/2019,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Sales,Field Operations,31/05/1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3
3471,Jonathan,Adkins,29/02/2020,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,Sales,Field Operations,03/01/1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4
3472,Nevaeh,Soto,15/01/2023,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,Sales,Project Management - Con,12/01/1982,TX,Director,Male,74124,Other,Married,Exceeds,4
3473,Chaim,Mata,29/06/2023,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,Sales,Shop (Fleet),01/10/1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2
3474,Arely,Patton,09/03/2020,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,Sales,Catv,16/12/1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2
3475,Vance,Trujillo,21/09/2021,13/04/2023,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Sales,General - Con,25/12/1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2
3476,Charlie,Koch,12/06/2023,06/07/2023,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Sales,Fielders,20/06/1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2
3477,Sonny,Horne,07/04/2019,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,IT/IS,Aerial,03/12/1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2
3478,Thomas,Chandler,17/09/2018,09/01/2019,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Wireline Construction,10/10/1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2
3479,Sarai,Stone,02/08/2022,02/04/2023,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Sales,Project Management - Con,17/05/1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
3480,Jerimiah,Harmon,08/09/2022,16/10/2022,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,Sales,Catv,09/08/1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1
3481,Leland,Allen,07/03/2019,31/05/2021,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Sales,Wireline Construction,11/12/1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4
3482,Cristal,Bolton,29/10/2019,07/02/2021,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Sales,Catv,11/02/1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2
3483,Jaslene,Harding,26/09/2021,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,Sales,Project Management - Con,19/06/1964,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1
3484,Albert,Gonzalez,29/08/2018,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unk,Sales,General - Con,18/07/1995,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4
3485,Jaiden,Johnson,26/10/2021,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,Sales,Field Operations,22/08/1994,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5
3486,Brendon,Mcconnell,31/10/2022,08/06/2023,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Fielders,14/11/1990,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4
3487,Kimora,Parsons,15/03/2023,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unk,Sales,General - Sga,01/02/1994,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4
3488,Willie,Patterson,09/09/2022,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,Sales,Wireline Construction,12/11/1997,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2
3489,Devyn,Powers,04/03/2022,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,Sales,Field Operations,02/05/1953,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2
3490,Weston,Preston,11/02/2019,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,Sales,General - Sga,10/07/1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2
3491,Lennon,Buchanan,26/01/2021,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unk,Sales,Field Operations,02/06/1973,TX,Driver,Male,39504,White,Widowed,Fully Meets,5
3492,Vicente,Merritt,26/11/2019,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,Sales,General - Con,08/01/1993,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1
3493,Hugo,Clay,15/07/2019,,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,Sales,Project Management - Con,17/04/1984,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5
3494,Cohen,Raymond,18/06/2020,,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unk,Sales,General - Con,08/02/1994,CO,Technician,Male,90983,Black,Single,Fully Meets,4
3495,Tia,Ellis,22/06/2023,22/07/2023,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Sales,Wireline Construction,27/01/1993,IN,Laborer,Male,1115,Other,Married,Fully Meets,4
3496,Aspen,Bentley,02/12/2021,,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,Sales,General - Sga,19/09/1964,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5
3497,Graham,Rodriguez,08/12/2021,,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unk,Sales,Project Management - Con,18/02/1981,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1
3498,Joel,Mcmillan,26/04/2023,22/06/2023,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,Sales,General - Sga,17/10/1998,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2
3499,Maci,Frost,25/09/2018,20/12/2021,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Field Operations,16/01/1971,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5
3500,Nevaeh,Lucas,20/11/2018,21/06/2020,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Sales,Shop (Fleet),25/02/2000,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1
3501,Garrett,Zimmerman,30/08/2020,30/08/2022,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales,General - Con,19/04/1959,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4
3502,Eugene,Marks,01/10/2019,,Area Sales Manager,Angela Morris,eugene.marks@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unk,Sales,Splicing,29/06/1976,TX,Electrician,Male,49914,White,Married,Fully Meets,1
3503,Geovanni,Pugh,20/01/2022,,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Unk,Sales,Project Management - Con,27/07/1951,CO,Manager,Male,71319,Other,Single,Fully Meets,4
3504,Javon,Kelley,10/10/2021,,Area Sales Manager,Gabriela Orr,javon.kelley@bilearner.com,SVG,Active,Full-Time,Zone B,Part-Time,Unk,Sales,General - Con,23/08/1980,CO,Laborer,Male,27992,Hispanic,Married,Fully Meets,2
3505,Amaya,Hicks,29/08/2020,,Area Sales Manager,Michael Wilkins,amaya.hicks@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unk,Sales,Field Operations,24/07/1943,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1
3506,Laila,Woodard,27/08/2019,10/05/2023,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Sales,Field Operations,06/07/1988,IN,Technician,Male,38740,Other,Married,Fully Meets,2
3507,Ivan,Huff,25/02/2021,07/04/2023,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Sales,Project Management - Con,24/03/1973,CA,Manager,Male,9437,White,Single,Fully Meets,4
3508,Aidan,Harding,13/07/2021,,Area Sales Manager,Trevor Adkins,aidan.harding@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,Sales,Aerial,26/05/1942,OR,Laborer,Male,9385,Asian,Single,Fully Meets,5
3509,Cruz,Boyer,14/04/2021,,Area Sales Manager,Marcus Hunt,cruz.boyer@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Unk,Sales,General - Sga,04/11/1977,KY,Project Controls,Female,75993,Black,Married,Fully Meets,2
3510,Raven,Koch,10/02/2020,,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,Sales,General - Con,17/10/1956,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2
3511,Karli,Barker,17/08/2021,31/12/2021,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Sales,Finance & Accounting,18/02/1997,KY,Director,Female,41111,Asian,Divorced,Fully Meets,4
3512,Tyrone,Sosa,17/04/2023,22/06/2023,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Sales,Yard (Material Handling),25/10/1996,TX,Coordinator,Female,58860,Black,Single,Fully Meets,2
3513,Damaris,Cisneros,02/09/2022,24/05/2023,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Sales,General - Con,13/11/1959,TX,Laborer,Male,93051,Other,Married,Fully Meets,5
3514,Alexus,Estes,15/04/2020,,Area Sales Manager,April Randolph,alexus.estes@bilearner.com,BPC,Active,Full-Time,Zone B,Part-Time,Unk,Sales,Wireline Construction,03/01/1958,TX,Manager,Male,17419,Asian,Married,Fully Meets,1
3515,Kinsley,Flowers,09/03/2022,10/12/2022,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales,Finance & Accounting,29/04/1997,CO,Controller,Male,59593,White,Single,Fully Meets,4
3516,Deborah,Love,07/04/2022,22/01/2023,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Retirement,Sales,Project Management - Con,25/06/1988,CO,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5
3517,Milagros,Francis,19/02/2020,,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Unk,Sales,Splicing,04/01/1942,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4
3518,Roberto,Michael,10/04/2021,04/07/2022,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Sales,General - Eng,24/05/1969,CA,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2
3519,Elaine,Ewing,19/12/2021,02/03/2022,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Sales,Aerial,28/03/1951,CA,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2
3520,Caiden,Munoz,13/12/2020,13/01/2023,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Sales,Project Management - Con,01/03/1963,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1
3521,Jocelyn,Bradford,26/02/2019,,Area Sales Manager,Melissa Decker,jocelyn.bradford@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,Sales,General - Con,16/04/1949,KY,Electrician,Female,51795,Asian,Divorced,Fully Meets,4
3522,Marques,Armstrong,02/03/2020,,Area Sales Manager,Michael Nguyen,marques.armstrong@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Unk,Sales,Splicing,12/10/1983,KY,Splicer,Female,34369,Other,Single,Fully Meets,1
3523,Rohan,Chapman,25/06/2021,25/08/2022,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Sales,General - Con,19/12/1978,KY,Laborer,Female,23092,Other,Single,Fully Meets,2
3524,Emmanuel,Franklin,26/07/2021,04/05/2022,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,11/11/1999,TX,Laborer,Male,6074,Asian,Divorced,Fully Meets,2
3525,Clayton,Mccormick,03/07/2022,10/01/2023,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,MSC,Future Start,Contract,Zone B,Temporary,Retirement,Sales,General - Con,29/01/1967,TX,Foreman,Male,72264,Hispanic,Single,Fully Meets,2
3526,Darius,Krause,15/09/2022,,Area Sales Manager,Paige Flores MD,darius.krause@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Unk,Sales,General - Con,30/05/1948,TX,Foreman,Male,28282,White,Widowed,Fully Meets,4
3527,Ahmed,Hawkins,01/05/2020,25/02/2021,Area Sales Manager,Hannah Snyder,ahmed.hawkins@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Retirement,Sales,Aerial,15/10/1974,CO,Lineman,Male,46645,Black,Married,Fully Meets,1
3528,Kymani,Benjamin,13/10/2022,,Area Sales Manager,William Ayala,kymani.benjamin@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Unk,Sales,Finance & Accounting,13/12/1991,CO,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2
3529,Callum,Mcdaniel,03/01/2020,24/08/2020,Area Sales Manager,Samuel Moore,callum.mcdaniel@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Sales,Field Operations,18/06/1994,IN,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2
